"name","description","url","appIconImageSource","PremiumOrBeta"
"Google Sheets","Create, edit, and share spreadsheets wherever you are with Google Sheets, and get automated insights from your data.","https://zapier.com/apps/google-sheets/integrations","https://zapier-images.imgix.net/storage/services/8913a06feb7556d01285c052e4ad59d0.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Gmail","One of the most popular email services, Gmail keeps track of all your emails with threaded conversations, tags, and Google-powered search to find any message you need.","https://zapier.com/apps/gmail/integrations","https://zapier-images.imgix.net/storage/services/1afcb319c029ec5da10efb593b7159c8.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Filter by Zapier","Only allow a Zap to proceed when a certain condition is met. For example, if you're sending a text message when you receive a new email, you could use a Filter that only sends a text message when the email received is from a certain address.","https://zapier.com/apps/filter/integrations","https://zapier-images.imgix.net/storage/services/ad3d7962908c17bcbe753928e8786b4a.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Slack","Slack is a platform for team communication: everything in one place, instantly searchable, available wherever you go. Offering instant messaging, document sharing and knowledge search for modern teams.","https://zapier.com/apps/slack/integrations","https://zapier-images.imgix.net/storage/services/6cf3f5a461feadfba7abc93c4c395b33_2.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Google Calendar","Google Calendar lets you organize your schedule and share events with co-workers and friends. With Google's free online calendar, it's easy to keep track of your daily schedule.","https://zapier.com/apps/google-calendar/integrations","https://zapier-images.imgix.net/storage/services/5e4971d60629bca0548ded987b9ddc06.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Webhooks by Zapier","Webhooks simply POST data (or JSON) to a specific URL every time we see something new. Webhooks can also accept data (or JSON) to kick off a workflow in Zapier.","https://zapier.com/apps/webhook/integrations","https://zapier-images.imgix.net/storage/services/6aafbb717d42f8b42f5be2e4e89e1a15.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30","Premium"
"Formatter by Zapier","Data isn't always in the format you need. Perhaps a date is in International format, but your app needs it in American format. Or maybe you need to Title Case a subject, truncate text for a Tweet, or turn Markdown text into HTML for your blog. Zapier's Formatter tool can help.","https://zapier.com/apps/formatter/integrations","https://zapier-images.imgix.net/storage/services/98abc2ffc5951ca33667fcd9c57726c9.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Email by Zapier","Send and receive email via a custom Zapier email address at ""zapiermail.com"". This is great for triggering off of emails and sending custom emails. (Max of 10 email sends per hour.)

Have direct access to your own email servers? Check out our IMAP and SMTP services!","https://zapier.com/apps/email/integrations","https://zapier-images.imgix.net/storage/services/8e4d4d03bfde581f2550934c589fb077.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Schedule by Zapier","Schedule is a native Zapier app you can use for recurring tasks. Trigger an action every day of the month, every day of the week or every single day. You can also select the hour of the day. If you're a developer, this is similar to a crontab, cronjob or cron.","https://zapier.com/apps/schedule/integrations","https://zapier-images.imgix.net/storage/services/ef225c9f6bbf656ffa1dffcb667f512b.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Mailchimp","Share your ideas with Mailchimp email newslettersâ€”then use its landing page and form builders to grow your lists and take marketing further with drip and transactional emails.","https://zapier.com/apps/mailchimp/integrations","https://zapier-images.imgix.net/storage/services/221770b81f376004aee4a712ef4353be.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Google Drive","Google Drive is Google's file sync app that lets you store all of your files online alongside your Google Docs documents, and keep them synced with all of your devices.","https://zapier.com/apps/google-drive/integrations","https://zapier-images.imgix.net/storage/services/a5b8a9920e9dae8a73711590e7090d3d.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"HubSpot","HubSpot is your all-in-one stop for all of your marketing software needs.","https://zapier.com/apps/hubspot/integrations","https://zapier-images.imgix.net/storage/developer/cde9764aa8d19fdd6d591455dbe5a78d.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Facebook Lead Ads","Facebook lead ads make signing up for business information easy for people and more valuable for businesses. The Facebook lead ad app is useful for marketers who want to automate actions on their leads.","https://zapier.com/apps/facebook-lead-ads/integrations","https://zapier-images.imgix.net/storage/services/f407c31b217aac6e0cd4171092d53a8c_3.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30","Premium"
"Twitter","Twitter is the social network that shows what's happening around the world in real time. Share your ideas in Tweets, follow hashtags to keep up with trends, and join in the global conversation.","https://zapier.com/apps/twitter/integrations","https://zapier-images.imgix.net/storage/services/580b3c79622bbff634f0d764e9f813a3.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30","Premium"
"Notion","A new tool that blends your everyday work apps into one. It's the all-in-one workspace for you and your team.","https://zapier.com/apps/notion/integrations","https://zapier-images.imgix.net/storage/services/0de44c7d5f0046873886168b9b498f66_3.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Trello","Trello is a team collaboration tool that lets you organize anything and everything to keep your projects on task.","https://zapier.com/apps/trello/integrations","https://zapier-images.imgix.net/storage/services/da3ff465abd3a3e1b687c52ff803af74.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Paths by Zapier","Conditional logic for your Zapier workflows. Paths let your apps take different actions based on conditions you choose.","https://zapier.com/apps/paths/integrations","https://zapier-images.imgix.net/storage/services/b19117604393526d300c8a75f47f9cad.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Calendly","Calendly is an elegant and simple scheduling tool for businesses that eliminates email back and forth. It helps save time so that businesses can provide great service and increase sales.","https://zapier.com/apps/calendly/integrations","https://zapier-images.imgix.net/storage/services/33464c48a26a29dd29977ffb16bcca53.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Discord","Discord is an all-in-one voice and text chat for gamers.","https://zapier.com/apps/discord/integrations","https://zapier-images.imgix.net/storage/services/ca03beabe94d8f97ba6fbf75cbb695c4.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Delay by Zapier","Put your Actions on hold for a specified amount of time before sending data to another app. You can set up scheduled emails, get notified of incomplete tasks, send automatic follow-ups, and automate other tasks on your timeline.","https://zapier.com/apps/delay/integrations","https://zapier-images.imgix.net/storage/services/eb5078e112587cb2c6b12fc8c7fd3cd2.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Google Forms","Google Forms is an easy way to collect data from the web with a simple UI and powerful editor. Works hand-in-hand with Google Sheets!","https://zapier.com/apps/google-forms/integrations","https://zapier-images.imgix.net/storage/developer_cli/82ee79efa898e62c2c8b71187e09fb91.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
"Airtable","Organize anything with Airtable, a modern database created for everyone. Airtable is a fast and flexible way to create tables to keep track of anything, from sales leads to vacation planning to inventory management.","https://zapier.com/apps/airtable/integrations","https://zapier-images.imgix.net/storage/developer/c6c8c5e300ef0da0e47b3084e5522f20.png?auto=format&ixlib=react-9.7.0&q=50&fit=crop&h=30&w=30",
